Edad,Hombres,Mujeres,Categoría
0,-165326,155327,Total España
1,-174350,166314,Total España
2,-185026,175078,Total España
3,-195366,185629,Total España
4,-209618,197734,Total España
5,-220540,208703,Total España
6,-226563,214633,Total España
7,-231613,217802,Total España
8,-228719,216591,Total España
9,-242940,228807,Total España
10,-249215,234768,Total España
11,-254547,240528,Total España
12,-259753,243940,Total España
13,-271170,255494,Total España
14,-261327,246631,Total España
15,-260343,246120,Total España
16,-254259,241086,Total España
17,-255327,239216,Total España
18,-254167,238842,Total España
19,-249855,232384,Total España
20,-249898,233987,Total España
21,-253918,236590,Total España
22,-247744,235277,Total España
23,-243624,230042,Total España
24,-247680,237273,Total España
25,-246483,237496,Total España
26,-249671,240722,Total España
27,-253990,245924,Total España
28,-262950,254903,Total España
29,-270026,263474,Total España
30,-269799,262745,Total España
31,-272761,268167,Total España
32,-276294,273838,Total España
33,-280925,279659,Total España
34,-284241,283506,Total España
35,-289965,291959,Total España
36,-299735,301262,Total España
37,-311323,312709,Total España
38,-322098,322549,Total España
39,-340719,340009,Total España
40,-356252,353048,Total España
41,-373930,369306,Total España
42,-383994,379138,Total España
43,-401616,393946,Total España
44,-408004,397161,Total España
45,-413517,404847,Total España
46,-410926,400422,Total España
47,-406481,398322,Total España
48,-395916,387631,Total España
49,-392767,386353,Total España
50,-385119,380282,Total España
51,-378727,375375,Total España
52,-371956,372126,Total España
53,-367014,369633,Total España
54,-366867,372580,Total España
55,-357020,362862,Total España
56,-351435,361196,Total España
57,-354221,365824,Total España
58,-335528,347233,Total España
59,-321665,336051,Total España
60,-312216,328213,Total España
61,-311027,328901,Total España
62,-300735,319082,Total España
63,-291306,311494,Total España
64,-281598,303961,Total España
65,-260206,283131,Total España
66,-250345,274341,Total España
67,-235740,261665,Total España
68,-234480,260058,Total España
69,-231131,256904,Total España
70,-213077,240990,Total España
71,-204408,233786,Total España
72,-207692,242481,Total España
73,-212928,251518,Total España
74,-190698,228049,Total España
75,-177374,216850,Total España
76,-180034,223767,Total España
77,-166403,209917,Total España
78,-158563,203894,Total España
79,-131907,172190,Total España
80,-116522,155804,Total España
81,-134763,187344,Total España
82,-82686,121806,Total España
83,-88543,133239,Total España
84,-92236,143843,Total España
85,-91577,150484,Total España
86,-81547,137103,Total España
87,-72238,126849,Total España
88,-64311,118485,Total España
89,-55367,106584,Total España
90,-44435,89043,Total España
91,-35884,78322,Total España
92,-27221,62855,Total España
93,-21069,51601,Total España
94,-14713,39112,Total España
95,-10873,30786,Total España
96,-7367,22708,Total España
97,-5201,16660,Total España
98,-3509,11656,Total España
99,-2246,8252,Total España
100+,-4382,15257,Total España
0,-6677,6330,España rural
1,-7292,6879,España rural
2,-7643,7258,España rural
3,-7993,7690,España rural
4,-8446,8065,España rural
5,-8858,8364,España rural
6,-9415,8840,España rural
7,-9376,8764,España rural
8,-9201,8794,España rural
9,-10040,9353,España rural
10,-10114,9729,España rural
11,-10219,9961,España rural
12,-10528,9880,España rural
13,-11101,10454,España rural
14,-10791,10096,España rural
15,-10754,10104,España rural
16,-10858,10047,España rural
17,-10829,10097,España rural
18,-10962,10301,España rural
19,-11101,9997,España rural
20,-11442,10465,España rural
21,-11940,10681,España rural
22,-11924,10881,España rural
23,-12040,10570,España rural
24,-12666,11096,España rural
25,-12216,10813,España rural
26,-12681,11050,España rural
27,-12710,11224,España rural
28,-13112,11613,España rural
29,-13885,11919,España rural
30,-13855,12119,España rural
31,-14308,12145,España rural
32,-14652,12430,España rural
33,-14995,12705,España rural
34,-14907,12765,España rural
35,-15529,12975,España rural
36,-15395,13132,España rural
37,-16219,13595,España rural
38,-16621,13959,España rural
39,-17495,14512,España rural
40,-18350,15199,España rural
41,-19370,15958,España rural
42,-19655,16334,España rural
43,-20494,17074,España rural
44,-21003,17009,España rural
45,-21827,17786,España rural
46,-21711,17861,España rural
47,-21697,17784,España rural
48,-21867,17801,España rural
49,-21996,17982,España rural
50,-22340,18329,España rural
51,-22437,18609,España rural
52,-23336,19127,España rural
53,-23628,19525,España rural
54,-24242,19777,España rural
55,-23965,20108,España rural
56,-24214,20249,España rural
57,-25062,21110,España rural
58,-24752,20342,España rural
59,-24369,19910,España rural
60,-24378,20107,España rural
61,-24248,20073,España rural
62,-23885,19123,España rural
63,-22925,18417,España rural
64,-22151,18073,España rural
65,-20510,16847,España rural
66,-19692,16011,España rural
67,-18835,15606,España rural
68,-18802,15505,España rural
69,-18634,15727,España rural
70,-16983,14846,España rural
71,-16665,14685,España rural
72,-16579,15402,España rural
73,-17172,16230,España rural
74,-15500,15033,España rural
75,-14478,14463,España rural
76,-14843,15529,España rural
77,-14380,14637,España rural
78,-13683,15017,España rural
79,-11811,13379,España rural
80,-10794,12581,España rural
81,-12447,15265,España rural
82,-7701,9708,España rural
83,-8440,10939,España rural
84,-9534,12833,España rural
85,-10397,14373,España rural
86,-9107,13142,España rural
87,-8394,12445,España rural
88,-7643,12032,España rural
89,-6887,10799,España rural
90,-5669,9189,España rural
91,-4796,8204,España rural
92,-3509,6690,España rural
93,-2815,5625,España rural
94,-2045,4054,España rural
95,-1590,3460,España rural
96,-1025,2523,España rural
97,-798,1829,España rural
98,-539,1385,España rural
99,-389,965,España rural
100+,-594,1808,España rural
